Date,Open,High,Low,Close,Volume,Symbol
2025-02-28,236.95,242.09,230.2,241.84,56833360,AAPL
2025-02-27,239.41,242.46,237.06,237.3,41153639,AAPL
2025-02-26,244.33,244.98,239.13,240.36,44433564,AAPL
2025-02-25,248.0,250.0,244.91,247.04,48013272,AAPL
2025-02-24,244.925,248.86,244.42,247.172,51326396,AAPL
2025-02-21,245.95,248.69,245.22,245.55,53197431,AAPL
2025-02-20,244.94,246.78,244.29,245.83,32316907,AAPL
2025-02-19,244.66,246.01,243.16,244.87,32204215,AAPL
2025-02-18,243.91,245.18,241.84,244.47,48822491,AAPL
2025-02-14,241.25,245.55,240.99,244.6,40896227,AAPL
2025-02-13,236.91,242.339,235.57,241.53,53614054,AAPL
2025-02-12,231.2,236.96,230.68,236.87,45243292,AAPL
2025-02-11,228.2,235.23,228.13,232.62,53718362,AAPL
2025-02-10,229.57,230.585,227.2,227.65,33115645,AAPL
2025-02-07,232.345,233.743,227.01,227.38,39750881,AAPL
2025-02-06,231.031,233.543,230.172,232.964,29958251,AAPL
2025-02-05,228.279,232.414,228.019,232.215,39708599,AAPL
2025-02-04,227.0,232.874,226.401,232.544,45116851,AAPL
2025-02-03,229.737,231.575,225.452,227.76,73143632,AAPL
2025-01-31,246.919,246.919,233.184,235.741,101186258,AAPL
2025-01-30,238.403,240.526,236.949,237.329,55719474,AAPL
2025-01-29,233.863,239.592,233.753,239.097,45536111,AAPL
2025-01-28,230.596,239.926,230.557,237.998,75790808,AAPL
2025-01-27,223.774,231.895,223.734,229.608,94967718,AAPL
2025-01-24,224.533,225.382,221.167,222.535,54758046,AAPL
2025-01-23,224.493,226.781,222.056,223.414,60300986,AAPL
2025-01-22,219.549,223.874,219.549,223.584,64197005,AAPL
2025-01-21,223.754,224.174,219.139,222.395,98178255,AAPL
2025-01-17,231.86,232.035,228.229,229.727,68563602,AAPL
2025-01-16,237.089,237.749,227.78,228.009,71837949,AAPL
2025-01-15,234.377,238.698,234.173,237.609,39875763,AAPL
2025-01-14,234.492,235.861,232.217,233.024,39478652,AAPL
2025-01-13,233.274,234.412,229.468,234.143,49685293,AAPL
2025-01-10,239.746,239.896,232.744,236.59,61778705,AAPL
2025-01-08,241.654,243.445,239.786,242.433,37670312,AAPL
2025-01-07,242.713,245.28,241.085,241.944,40900880,AAPL
2025-01-06,244.042,247.058,242.933,244.731,45095097,AAPL
2025-01-03,243.093,243.912,241.624,243.093,40288361,AAPL
2025-01-02,248.657,248.826,241.555,243.582,55802016,AAPL
2024-12-31,252.163,253.002,249.156,250.145,39524126,AAPL
2024-12-30,251.953,253.222,250.475,251.923,35596636,AAPL
2024-12-27,257.547,258.416,252.782,255.309,42401889,AAPL
2024-12-26,257.906,259.814,257.347,258.736,27292958,AAPL
2024-12-24,255.209,257.926,255.01,257.916,23260251,AAPL
2024-12-23,254.49,255.369,253.172,254.99,40903697,AAPL
2024-12-20,247.768,254.72,245.42,254.211,147657435,AAPL
2024-12-19,247.228,251.723,246.824,249.516,60949202,AAPL
2024-12-18,251.883,254.001,247.468,247.778,56836523,AAPL
2024-12-17,249.805,253.551,249.506,253.202,51412825,AAPL
2024-12-16,247.718,251.104,247.378,250.764,51751590,AAPL
2024-12-13,247.543,249.016,245.97,247.857,33191743,AAPL
2024-12-12,246.619,248.467,245.41,247.688,32813570,AAPL
2024-12-11,247.688,250.525,245.99,246.219,45255516,AAPL
2024-12-10,246.619,247.937,245.071,247.498,36955393,AAPL
2024-12-09,241.564,246.968,241.484,246.479,44698322,AAPL
2024-12-06,242.638,244.361,241.814,242.573,36911157,AAPL
2024-12-05,243.722,244.271,241.864,242.773,40077894,AAPL
2024-12-04,242.603,243.842,240.985,242.743,44432734,AAPL
2024-12-03,239.547,242.493,238.638,242.384,38903743,AAPL
2024-12-02,237.009,240.526,236.9,239.327,48190028,AAPL
2024-11-29,234.547,237.549,233.713,237.069,28512691,AAPL
2024-11-27,234.207,235.431,233.553,234.672,33535269,AAPL
2024-11-26,233.074,235.311,233.074,234.802,46036749,AAPL
2024-11-25,231.206,232.989,229.488,232.614,90251953,AAPL
2024-11-22,227.81,230.467,227.81,229.618,38210217,AAPL
2024-11-21,228.629,229.902,225.462,228.269,42154624,AAPL
